faiss_id,movie_id,t0,t1,scene_id,shot_id,variant,bbox_x1,bbox_y1,bbox_x2,bbox_y2,size,n_frames,stride_s
62,orig_288p,111.458,112.958,12,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
63,orig_288p,112.958,114.583,13,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
64,orig_288p,114.583,116.0,14,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
65,orig_288p,116.0,117.417,14,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
66,orig_288p,117.416,118.833,14,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
67,orig_288p,118.833,120.5,15,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
68,orig_288p,120.5,121.541,16,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
69,orig_288p,121.541,122.582,16,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
70,orig_288p,122.583,124.416,17,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
71,orig_288p,124.416,126.249,17,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
72,orig_288p,126.25,128.083,17,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
73,orig_288p,128.083,129.729,18,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
74,orig_288p,129.729,131.375,18,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
75,orig_288p,131.375,133.042,19,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
76,orig_288p,133.042,134.709,19,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
77,orig_288p,134.708,136.375,19,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
78,orig_288p,136.375,137.5,20,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
79,orig_288p,137.5,139.219,21,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
80,orig_288p,139.219,140.938,21,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
81,orig_288p,140.938,142.657,21,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
82,orig_288p,142.656,144.375,21,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
83,orig_288p,144.375,146.062,22,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
84,orig_288p,146.062,147.75,22,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
85,orig_288p,147.75,149.438,22,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
86,orig_288p,149.438,151.125,22,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
87,orig_288p,151.125,152.812,22,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
88,orig_288p,152.812,154.5,22,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
89,orig_288p,154.5,156.352,23,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
90,orig_288p,156.352,158.204,23,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
91,orig_288p,158.204,160.056,23,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
92,orig_288p,160.056,161.908,23,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
93,orig_288p,161.908,163.76,23,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
94,orig_288p,163.759,165.611,23,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
95,orig_288p,165.611,167.463,23,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
96,orig_288p,167.463,169.315,23,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
97,orig_288p,169.315,171.167,23,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
98,orig_288p,171.167,172.625,24,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
99,orig_288p,172.625,173.959,25,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
100,orig_288p,173.959,175.292,25,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
101,orig_288p,175.292,176.75,26,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
102,orig_288p,176.75,178.625,27,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
103,orig_288p,178.625,180.125,28,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
104,orig_288p,180.125,181.625,29,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
105,orig_288p,181.625,183.083,30,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
106,orig_288p,183.083,184.042,31,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
107,orig_288p,184.042,185.084,32,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
108,orig_288p,185.084,186.125,32,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
109,orig_288p,186.125,187.292,33,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
110,orig_288p,187.292,189.167,34,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
111,orig_288p,189.167,190.375,35,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
